,attractive,calm,capable,diligent,extroverted,friendly,happy,healthy,high-social-status,humble,intelligent,kind,masculine,powerful,responsible,successful,trustworthy,warm
Google_1_Randy Vansickle_5_oval.jpg,4.818181818181818,6.733333333333333,5.636363636363637,6.466666666666667,6.818181818181818,7.066666666666666,7.0,4.2105263157894735,4.454545454545454,6.066666666666666,6.0,7.235294117647059,3.1875,5.909090909090909,6.846153846153846,6.916666666666667,6.928571428571429,7.125
Google_1_Ernest Horst_13_oval.jpg,3.1875,6.846153846153846,6.083333333333333,5.454545454545454,5.846153846153846,5.6,6.1,4.466666666666667,4.625,6.5,4.4375,7.461538461538462,3.2857142857142856,3.588235294117647,6.388888888888889,4.4,6.538461538461538,6.083333333333333
Google_1_Douglas Ziegler_3_oval.jpg,4.75,6.533333333333333,5.909090909090909,6.75,7.3,7.357142857142857,7.2727272727272725,5.833333333333333,5.166666666666667,5.333333333333333,5.590909090909091,7.0,6.954545454545454,5.285714285714286,6.583333333333333,5.333333333333333,6.866666666666666,6.357142857142857
Google_1_Joe Therrien_7_oval.jpg,3.272727272727273,4.875,5.473684210526316,4.466666666666667,5.9,6.0,6.428571428571429,4.5,4.157894736842105,6.428571428571429,4.458333333333333,5.142857142857143,7.454545454545454,4.615384615384615,5.866666666666666,5.083333333333333,4.8,5.1
Google_1_Albert Ahrens_5_oval.jpg,2.5714285714285716,5.545454545454546,5.214285714285714,6.526315789473684,5.363636363636363,5.545454545454546,5.5,5.176470588235294,4.384615384615385,6.3125,5.538461538461538,5.846153846153846,6.75,5.7,6.6,5.363636363636363,5.933333333333334,4.818181818181818
Google_1_Peter Mcclary_13_oval.jpg,5.076923076923077,6.25,6.714285714285714,6.25,5.631578947368421,6.0,6.071428571428571,7.0,5.384615384615385,5.583333333333333,6.5,6.714285714285714,3.642857142857143,5.785714285714286,7.3076923076923075,6.363636363636363,6.384615384615385,5.2
Google_1_Ryan Mauney_9_oval.jpg,6.352941176470588,6.722222222222222,6.285714285714286,6.818181818181818,5.909090909090909,5.8,7.083333333333333,6.695652173913044,4.866666666666666,6.9,5.615384615384615,6.428571428571429,3.789473684210526,5.5,6.6,6.066666666666666,7.0,6.3076923076923075
Google_1_Erma Jay_3_oval.jpg,2.857142857142857,5.230769230769231,6.285714285714286,4.4,4.818181818181818,4.6,4.916666666666667,4.7272727272727275,4.5,5.333333333333333,5.1875,6.454545454545454,6.833333333333333,5.0625,4.0,3.8,4.923076923076923,4.6
Google_1_Jerry Keane_3_oval.jpg,5.470588235294118,6.7894736842105265,5.642857142857143,5.5,6.75,7.125,7.5,6.166666666666667,4.846153846153846,6.235294117647059,5.809523809523809,6.117647058823529,6.35,5.428571428571429,4.909090909090909,6.0,7.2105263157894735,6.769230769230769
Google_1_Vera Becker_5_oval.jpg,5.333333333333333,6.454545454545454,6.076923076923077,5.055555555555555,6.615384615384615,7.111111111111111,7.333333333333333,5.083333333333333,4.5,6.6,4.285714285714286,6.866666666666666,3.4545454545454546,4.75,5.642857142857143,5.571428571428571,6.384615384615385,6.6
Google_1_Peggy Frink_19_oval.jpg,5.466666666666667,5.5,5.866666666666666,6.666666666666667,4.384615384615385,4.769230769230769,5.181818181818182,7.5,6.3,5.0,6.75,4.9,6.769230769230769,6.4375,6.636363636363637,5.615384615384615,5.083333333333333,4.8
Google_1_Ronald Dunbar_3_oval.jpg,4.5,6.761904761904762,6.466666666666667,6.571428571428571,4.0,5.411764705882353,5.545454545454546,5.25,6.285714285714286,6.538461538461538,6.6,5.866666666666666,6.5625,5.076923076923077,6.466666666666667,6.125,5.909090909090909,5.705882352941177
Google_1_Harriet Callan_9_oval.jpg,3.0714285714285716,5.357142857142857,5.0625,5.833333333333333,5.090909090909091,4.3076923076923075,5.266666666666667,4.666666666666667,6.7272727272727275,5.846153846153846,5.533333333333333,5.416666666666667,6.809523809523809,6.5,5.416666666666667,6.769230769230769,5.722222222222222,4.583333333333333
Google_1_Jonathan Crosby_11_oval.jpg,7.75,5.1,7.7272727272727275,6.0,3.0,3.8181818181818183,4.461538461538462,7.055555555555555,7.866666666666666,4.285714285714286,7.0476190476190474,4.090909090909091,7.642857142857143,6.0,4.666666666666667,7.266666666666667,4.5,4.153846153846154
Google_1_Cheryl Griffin_15_oval.jpg,6.4,7.090909090909091,7.181818181818182,6.636363636363637,3.909090909090909,6.333333333333333,6.3,7.6,6.142857142857143,6.666666666666667,7.5,5.533333333333333,2.1,5.666666666666667,7.181818181818182,6.533333333333333,6.3076923076923075,6.454545454545454
Eugene_Gonsalves_15_oval.jpg,4.533333333333333,5.714285714285714,6.25,4.933333333333334,4.5625,4.6,4.083333333333333,5.533333333333333,5.571428571428571,5.181818181818182,5.733333333333333,4.733333333333333,7.642857142857143,5.75,4.9,5.857142857142857,4.3076923076923075,4.714285714285714
Google_1_Alma Poor_7_oval.jpg,7.384615384615385,6.357142857142857,7.090909090909091,7.894736842105263,7.125,6.833333333333333,7.583333333333333,7.590909090909091,7.9411764705882355,5.705882352941177,7.909090909090909,7.75,2.176470588235294,6.7272727272727275,7.454545454545454,7.625,6.947368421052632,6.3
Google_1_Frank Mccreary_16_oval.jpg,5.454545454545454,3.6666666666666665,5.466666666666667,6.052631578947368,6.636363636363637,5.538461538461538,4.785714285714286,7.529411764705882,5.625,5.2727272727272725,4.153846153846154,5.352941176470588,6.615384615384615,5.714285714285714,4.625,5.666666666666667,4.352941176470588,5.076923076923077
Google_1_Rebecca Toler_1_oval.jpg,3.6875,6.818181818181818,5.846153846153846,6.9,5.363636363636363,7.0,6.571428571428571,5.071428571428571,5.461538461538462,6.461538461538462,6.0,6.142857142857143,3.25,4.909090909090909,6.928571428571429,5.4,7.214285714285714,6.0
Google_1_Paula Keeler_1_oval.jpg,3.9166666666666665,6.142857142857143,5.0,3.857142857142857,5.7,5.75,5.5625,4.454545454545454,3.25,6.5,4.5,6.0,3.5384615384615383,5.416666666666667,5.923076923076923,4.8,6.416666666666667,5.833333333333333
Google_1_Kimberly Mccown_5_oval.jpg,3.5384615384615383,6.357142857142857,5.8,4.84,5.153846153846154,6.071428571428571,5.818181818181818,4.0,4.0,6.3076923076923075,4.909090909090909,6.363636363636363,3.090909090909091,3.909090909090909,5.8,4.666666666666667,6.625,4.833333333333333
Google_1_Nathan Lusk_17_oval.jpg,4.333333333333333,5.75,6.083333333333333,6.913043478260869,5.909090909090909,5.230769230769231,6.2,7.0,7.0,4.8,7.0,6.615384615384615,7.3076923076923075,6.928571428571429,6.0,6.75,5.818181818181818,5.142857142857143
Google_1_Rachel Kindred_12_oval.jpg,6.636363636363637,6.625,6.75,6.545454545454546,6.357142857142857,7.181818181818182,7.142857142857143,7.25,6.0,5.923076923076923,6.818181818181818,6.7272727272727275,2.357142857142857,5.352941176470588,6.7272727272727275,7.076923076923077,7.142857142857143,6.454545454545454
Google_1_Norman Lebeau_9_oval.jpg,6.533333333333333,7.083333333333333,6.153846153846154,7.4,8.0,6.818181818181818,7.3125,7.933333333333334,6.409090909090909,4.454545454545454,6.391304347826087,7.3125,2.5555555555555554,4.857142857142857,7.5,6.5,8.0,7.071428571428571
Google_1_Matthew Obrian_5_oval.jpg,4.0,7.083333333333333,6.5,6.142857142857143,6.545454545454546,5.6923076923076925,7.1,7.0,7.0,4.545454545454546,6.083333333333333,6.083333333333333,7.5,5.714285714285714,6.916666666666667,6.1,6.416666666666667,5.647058823529412
Google_1_Wayne Yun_17_oval.jpg,3.75,6.416666666666667,5.636363636363637,5.3125,4.166666666666667,5.571428571428571,4.8,5.125,4.588235294117647,5.181818181818182,5.428571428571429,5.8,6.6,5.533333333333333,5.933333333333334,5.923076923076923,6.615384615384615,5.625
Google_1_Kevin Weinstein_9_oval.jpg,4.642857142857143,7.25,6.5,5.923076923076923,6.7,6.833333333333333,6.416666666666667,6.133333333333334,4.538461538461538,6.384615384615385,5.333333333333333,6.6923076923076925,6.611111111111111,5.375,5.166666666666667,5.538461538461538,5.6875,6.615384615384615
