,attractive,calm,capable,diligent,extroverted,friendly,happy,healthy,high-social-status,humble,intelligent,kind,masculine,powerful,responsible,successful,trustworthy,warm
691.jpg,2.533333333333333,2.5714285714285716,3.75,4.333333333333333,2.0,2.8333333333333335,1.8461538461538463,3.9166666666666665,3.25,3.727272727272727,3.8461538461538463,1.8571428571428572,7.0,3.5454545454545454,3.909090909090909,3.2142857142857144,2.230769230769231,2.5
616.jpg,8.176470588235293,4.818181818181818,4.5,5.75,5.090909090909091,4.214285714285714,4.1875,7.933333333333334,6.947368421052632,3.3333333333333335,4.0,5.333333333333333,1.3846153846153846,4.2,4.142857142857143,5.642857142857143,4.083333333333333,4.933333333333334
180.jpg,3.923076923076923,6.642857142857143,6.5,6.739130434782608,5.166666666666667,6.7,6.153846153846154,5.928571428571429,4.8125,7.266666666666667,7.0,6.153846153846154,4.230769230769231,5.909090909090909,6.5,5.882352941176471,7.333333333333333,5.818181818181818
135.jpg,1.8333333333333333,3.25,5.5,5.166666666666667,3.588235294117647,2.6666666666666665,1.5,3.25,5.333333333333333,4.666666666666667,6.0,2.0625,7.857142857142857,5.5,5.6,4.625,2.8666666666666667,2.8181818181818183
1279.jpg,2.5454545454545454,5.181818181818182,6.3125,6.105263157894737,4.285714285714286,4.181818181818182,3.5833333333333335,4.724137931034483,4.533333333333333,5.909090909090909,6.714285714285714,4.9375,7.357142857142857,7.083333333333333,6.7,6.076923076923077,5.538461538461538,3.9
488.jpg,5.785714285714286,5.363636363636363,3.8,4.642857142857143,5.214285714285714,7.666666666666667,6.125,7.636363636363637,3.4375,7.636363636363637,3.6666666666666665,7.733333333333333,4.333333333333333,2.185185185185185,3.0,2.375,6.470588235294118,5.0
1387.jpg,3.3333333333333335,6.5,6.909090909090909,5.7,6.333333333333333,6.55,6.25,4.75,4.933333333333334,6.333333333333333,6.5,6.333333333333333,7.466666666666667,6.416666666666667,7.076923076923077,6.375,6.133333333333334,5.571428571428571
1624.jpg,2.8,3.076923076923077,6.230769230769231,6.333333333333333,4.052631578947368,2.4615384615384617,2.230769230769231,5.333333333333333,5.384615384615385,4.0,6.214285714285714,2.3333333333333335,6.785714285714286,6.416666666666667,6.6521739130434785,6.571428571428571,4.0,2.909090909090909
740.jpg,7.928571428571429,6.8,5.368421052631579,5.25,7.545454545454546,7.625,7.928571428571429,8.076923076923077,6.615384615384615,4.142857142857143,4.4375,6.428571428571429,1.85,3.75,5.285714285714286,5.6923076923076925,6.615384615384615,6.764705882352941
623.jpg,5.15,5.75,6.333333333333333,6.090909090909091,5.428571428571429,6.769230769230769,6.090909090909091,6.166666666666667,5.076923076923077,6.666666666666667,5.8,6.384615384615385,4.0,4.25,5.764705882352941,6.0,6.333333333333333,6.5
1584.jpg,8.0,5.933333333333334,5.1875,6.714285714285714,5.333333333333333,5.461538461538462,4.526315789473684,7.076923076923077,7.0,3.727272727272727,6.0,5.0,1.6,6.285714285714286,6.0,7.0,4.7,4.666666666666667
492.jpg,5.0,5.866666666666666,6.375,6.166666666666667,3.8181818181818183,4.363636363636363,4.0,6.7,5.416666666666667,5.6,6.0,4.090909090909091,7.076923076923077,5.368421052631579,4.9,5.571428571428571,4.2272727272727275,4.25
56.jpg,3.2,3.5714285714285716,3.375,3.8333333333333335,4.0,3.176470588235294,3.1,6.0,3.769230769230769,5.7272727272727275,3.3157894736842106,2.75,7.153846153846154,4.136363636363637,3.4545454545454546,3.238095238095238,2.6875,3.4545454545454546
91.jpg,2.909090909090909,6.769230769230769,6.85,6.6,5.3,5.090909090909091,4.636363636363637,5.235294117647059,6.0,6.285714285714286,5.454545454545454,5.0,7.529411764705882,6.714285714285714,6.777777777777778,5.214285714285714,5.764705882352941,5.5
270.jpg,2.466666666666667,4.545454545454546,6.0,6.533333333333333,4.363636363636363,3.9,3.9166666666666665,5.1,5.142857142857143,5.076923076923077,6.1923076923076925,3.9375,6.857142857142857,5.916666666666667,5.333333333333333,6.384615384615385,4.533333333333333,3.272727272727273
1388.jpg,1.8571428571428572,6.5,5.8125,3.789473684210526,6.411764705882353,6.5,7.0,4.166666666666667,3.7857142857142856,7.3076923076923075,4.16,7.0,6.166666666666667,6.5,5.0,5.2,5.416666666666667,5.909090909090909
206.jpg,2.230769230769231,3.5555555555555554,4.529411764705882,4.684210526315789,2.8333333333333335,2.769230769230769,2.0833333333333335,3.1,3.090909090909091,5.928571428571429,4.461538461538462,3.5833333333333335,7.7272727272727275,5.411764705882353,4.909090909090909,5.384615384615385,3.8461538461538463,3.111111111111111
1221.jpg,7.529411764705882,6.421052631578948,6.5,5.928571428571429,5.666666666666667,6.285714285714286,5.384615384615385,8.0,7.714285714285714,3.764705882352941,5.909090909090909,6.277777777777778,1.2727272727272727,5.25,5.0,5.7272727272727275,5.142857142857143,5.647058823529412
1343.jpg,4.285714285714286,6.4,4.8,4.764705882352941,6.0,4.916666666666667,5.3125,5.454545454545454,4.214285714285714,5.75,5.428571428571429,5.1875,7.083333333333333,4.916666666666667,5.384615384615385,3.8333333333333335,5.785714285714286,5.909090909090909
571.jpg,6.0,6.545454545454546,7.636363636363637,7.714285714285714,5.071428571428571,5.0,5.083333333333333,8.142857142857142,7.0,5.357142857142857,7.833333333333333,5.6923076923076925,7.333333333333333,5.8,7.111111111111111,6.611111111111111,6.0,6.1
138.jpg,5.166666666666667,4.55,5.0,5.947368421052632,5.285714285714286,4.666666666666667,4.416666666666667,5.9375,4.538461538461538,5.411764705882353,5.2105263157894735,4.083333333333333,2.9583333333333335,4.533333333333333,5.909090909090909,5.538461538461538,5.25,5.166666666666667
889.jpg,4.454545454545454,4.8,5.25,4.571428571428571,3.25,4.083333333333333,3.933333333333333,5.928571428571429,4.076923076923077,6.636363636363637,5.333333333333333,4.6923076923076925,4.1875,4.363636363636363,5.583333333333333,4.363636363636363,5.571428571428571,4.083333333333333
85.jpg,3.4615384615384617,4.090909090909091,6.071428571428571,5.684210526315789,3.7333333333333334,2.2857142857142856,3.6666666666666665,4.230769230769231,3.2,3.5,5.3125,2.5625,7.615384615384615,6.235294117647059,4.235294117647059,6.1875,2.9166666666666665,2.727272727272727
120.jpg,2.8181818181818183,3.0,6.636363636363637,5.705882352941177,2.8461538461538463,2.6666666666666665,3.0833333333333335,5.5,6.2,4.090909090909091,5.454545454545454,3.1538461538461537,8.0,6.470588235294118,4.636363636363637,5.722222222222222,2.727272727272727,3.0
812.jpg,1.8125,3.7333333333333334,3.2857142857142856,3.8461538461538463,3.1538461538461537,3.0625,3.769230769230769,3.0555555555555554,2.5714285714285716,4.2727272727272725,4.181818181818182,3.5,4.0,2.823529411764706,4.166666666666667,3.8,3.9565217391304346,4.461538461538462
48.jpg,6.863636363636363,6.230769230769231,4.590909090909091,4.909090909090909,5.538461538461538,5.631578947368421,6.2727272727272725,7.0,5.214285714285714,5.538461538461538,4.214285714285714,5.5,2.272727272727273,4.0,4.909090909090909,5.6923076923076925,5.714285714285714,5.0
1116.jpg,5.166666666666667,3.357142857142857,6.9375,7.5,2.7,3.4,2.0,6.388888888888889,5.833333333333333,6.0,6.0,3.1666666666666665,4.357142857142857,5.916666666666667,6.277777777777778,6.190476190476191,4.9375,3.235294117647059
628.jpg,7.416666666666667,7.166666666666667,7.0,5.866666666666666,8.4375,8.454545454545455,8.7,8.1875,7.666666666666667,4.461538461538462,5.916666666666667,7.75,1.2692307692307692,6.523809523809524,5.333333333333333,7.266666666666667,7.090909090909091,7.769230769230769
932.jpg,3.6153846153846154,4.9375,5.066666666666666,5.0,3.5,3.4615384615384617,3.7058823529411766,6.136363636363637,4.461538461538462,4.2,5.0625,4.052631578947368,4.909090909090909,5.444444444444445,5.125,4.25,4.0,4.181818181818182
17.jpg,4.375,4.928571428571429,3.5454545454545454,3.0454545454545454,3.1875,3.0833333333333335,3.2142857142857144,4.583333333333333,3.6333333333333333,4.090909090909091,3.076923076923077,2.5833333333333335,6.363636363636363,3.375,4.166666666666667,3.6666666666666665,3.4375,3.0
371.jpg,5.733333333333333,5.2,6.545454545454546,6.333333333333333,3.142857142857143,4.2727272727272725,2.9,6.294117647058823,6.583333333333333,3.875,6.888888888888889,3.6666666666666665,2.9285714285714284,5.230769230769231,6.181818181818182,6.125,5.133333333333334,3.466666666666667
969.jpg,2.0,6.066666666666666,5.470588235294118,5.529411764705882,3.909090909090909,5.157894736842105,5.6923076923076925,6.071428571428571,4.7,5.916666666666667,5.235294117647059,4.6923076923076925,6.909090909090909,5.409090909090909,5.083333333333333,4.571428571428571,4.923076923076923,5.3
70.jpg,2.6923076923076925,4.285714285714286,6.066666666666666,6.666666666666667,3.25,3.357142857142857,3.6666666666666665,4.5,6.25,5.25,7.25,2.1,7.6923076923076925,7.25,6.615384615384615,6.529411764705882,3.8461538461538463,2.4285714285714284
