,id,username,age,gender,hispanic,number,race,movie,country,friend,country_list
199,210,A2W2AXRFK3S3HX,40-49,Male,No,4,White,10+,none,50+,
200,211,AHLHKC442C9NT,30-39,Female,No,4,White,1-10,11-30,50+,"China, Japan, Singapore"
201,212,A3B4XYSG4967DW,20-29,Female,No,4,White,1-10,none,50+,
202,213,A6R318J6B39FY,20-29,Female,No,4,White,1-10,11-30,50+,"Thailand, China, Japan"
203,214,A3A900F8BTBNUK,40-49,Female,No,4,White,1-10,none,1-10,
204,215,A3N5U85BC6SKZV,30-39,Female,No,4,White,10+,none,11-50,
205,216,A2SB1L86EEZH1T,40-49,Female,No,4,White,1-10,none,50+,
206,217,A1ZOFPPZVYQ0Z8,50-59,Female,No,4,White,1-10,none,none,
207,218,A14F0CMEHST22B,30-39,Female,No,4,White,1-10,none,1-10,
208,219,AJY3TK15330KW,40-49,Female,No,4,White,1-10,none,11-50,
209,220,A3MYPYBVHX7FQ2,40-49,Male,No,4,White,1-10,none,50+,
210,221,A2MGOUM4TPD54V,30-39,Female,No,4,White,10+,none,50+,
211,222,A7B1KAIRPG8KY,20-29,Female,No,4,Black,1-10,none,1-10,
212,223,A3B0ZMYKGS5CBH,30-39,Female,No,4,White,1-10,none,11-50,
213,224,ARFQ8FJRKCUZ6,50-59,Female,No,4,White,10+,none,1-10,
214,225,A2MGOUM4TPD54V,30-39,Female,No,4,White,10+,none,50+,
215,226,ANMS8H9EKOVB8,30-39,Male,No,4,White,1-10,1-10,50+,
216,227,A1198W1SPF1R4,50-59,Female,No,4,Asian,10+,30+,50+,Hong Kong
217,228,A22TWXUV140FHL,20-29,Female,No,4,White,none,none,none,
218,229,A1YEFUZ9NW1VAU,50-59,Female,No,4,Black,1-10,none,1-10,
219,230,A1Z3D6K2XFAIWA,Under 20,Female,No,4,Black,none,none,1-10,
220,231,ARFQ8FJRKCUZ6,50-59,Female,No,4,White,10+,none,1-10,
221,232,A2N10QFJ8OCU2T,60+,Female,No,4,White,none,none,1-10,
222,233,A1198W1SPF1R4,50-59,Female,No,4,Asian,10+,30+,50+,Hong Kong
223,234,A3INFDOJV2825M,30-39,Male,Yes,4,White,10+,none,1-10,Thailand
224,235,A1Z3D6K2XFAIWA,Under 20,Female,No,4,Black,none,none,1-10,
225,236,AVR1GL9EX02GT,40-49,Female,No,3,White,1-10,11-30,11-50,
226,237,A2JUTTLDE5LGHH,60+,Male,No,4,White,none,none,11-50,
227,238,A1P5NMBECIWB3I,50-59,Female,No,4,White,1-10,none,50+,
228,239,AAYN2M7OGJW8R,50-59,Male,No,4,White,1-10,none,1-10,
229,240,A304UJAE051J89,30-39,Female,No,4,White,1-10,none,1-10,
230,241,A951L1XUKYGMO,20-29,Female,Yes,4,White,1-10,none,11-50,
231,242,A3FKX13NFQZP0Q,50-59,Female,No,4,White,10+,none,11-50,
232,243,A3OTFOSCFI63GB,40-49,Female,No,4,White,10+,none,50+,
